idx,coord_y,coord_x,tumor_patch,center_tumor_patch,wsi,slide_name,hospital
73741,93888,33792,0,0,camelyon16_train_normal_001,normal_001,0
60416,110080,58368,0,0,camelyon16_train_normal_001,normal_001,0
177111,118208,71488,0,0,camelyon16_train_normal_001,normal_001,0
186113,90816,36288,0,0,camelyon16_train_normal_001,normal_001,0
101766,87424,46592,0,0,camelyon16_train_normal_001,normal_001,0
113928,102080,63104,0,0,camelyon16_train_normal_001,normal_001,0
216470,92672,37056,0,0,camelyon16_train_normal_001,normal_001,0
109226,89472,37696,0,0,camelyon16_train_normal_001,normal_001,0
93484,91264,32768,0,0,camelyon16_train_normal_001,normal_001,0
176433,101248,52672,0,0,camelyon16_train_normal_001,normal_001,0
148041,106752,37888,0,0,camelyon16_train_normal_001,normal_001,0
82019,114496,59200,0,0,camelyon16_train_normal_001,normal_001,0
237812,113472,65792,0,0,camelyon16_train_normal_001,normal_001,0
153293,93120,55808,0,0,camelyon16_train_normal_001,normal_001,0
60959,118016,72704,0,0,camelyon16_train_normal_001,normal_001,0
67413,100800,62912,0,0,camelyon16_train_normal_001,normal_001,0
241474,90496,52992,0,0,camelyon16_train_normal_001,normal_001,0
175318,107456,60736,0,0,camelyon16_train_normal_001,normal_001,0
88965,93376,55104,0,0,camelyon16_train_normal_001,normal_001,0
159280,91776,52352,0,0,camelyon16_train_normal_001,normal_001,0
126021,96832,33152,0,0,camelyon16_train_normal_001,normal_001,0
122120,106688,43392,0,0,camelyon16_train_normal_001,normal_001,0
235860,91328,38976,0,0,camelyon16_train_normal_001,normal_001,0
132368,107904,67200,0,0,camelyon16_train_normal_001,normal_001,0
229912,119040,51776,0,0,camelyon16_train_normal_001,normal_001,0
67926,108608,68160,0,0,camelyon16_train_normal_001,normal_001,0
50088,119808,69440,0,0,camelyon16_train_normal_001,normal_001,0
58357,107776,65984,0,0,camelyon16_train_normal_001,normal_001,0
206026,107456,62144,0,0,camelyon16_train_normal_001,normal_001,0
25933,109184,62336,0,0,camelyon16_train_normal_001,normal_001,0
134177,112448,66560,0,0,camelyon16_train_normal_001,normal_001,0
184018,124416,70016,0,0,camelyon16_train_normal_001,normal_001,0
240831,116224,64768,0,0,camelyon16_train_normal_001,normal_001,0
192661,100800,67648,0,0,camelyon16_train_normal_001,normal_001,0
5426,118080,57472,0,0,camelyon16_train_normal_001,normal_001,0
177509,112192,67776,0,0,camelyon16_train_normal_001,normal_001,0
24177,86336,50816,0,0,camelyon16_train_normal_001,normal_001,0
85434,105024,68352,0,0,camelyon16_train_normal_001,normal_001,0
248068,109120,67008,0,0,camelyon16_train_normal_001,normal_001,0
164584,87488,47104,0,0,camelyon16_train_normal_001,normal_001,0
231534,97152,36096,0,0,camelyon16_train_normal_001,normal_001,0
41763,116672,66944,0,0,camelyon16_train_normal_001,normal_001,0
188403,116864,65216,0,0,camelyon16_train_normal_001,normal_001,0
62295,92224,34496,0,0,camelyon16_train_normal_001,normal_001,0
41125,101568,41664,0,0,camelyon16_train_normal_001,normal_001,0
111301,89984,36480,0,0,camelyon16_train_normal_001,normal_001,0
232852,115328,59072,0,0,camelyon16_train_normal_001,normal_001,0
185883,92672,37440,0,0,camelyon16_train_normal_001,normal_001,0
167962,95488,40384,0,0,camelyon16_train_normal_001,normal_001,0
57120,91584,39104,0,0,camelyon16_train_normal_001,normal_001,0
251172,100352,45888,0,0,camelyon16_train_normal_001,normal_001,0
120258,121984,51968,0,0,camelyon16_train_normal_001,normal_001,0
172231,109824,60800,0,0,camelyon16_train_normal_001,normal_001,0
256918,90496,47360,0,0,camelyon16_train_normal_001,normal_001,0
31837,127424,63936,0,0,camelyon16_train_normal_001,normal_001,0
232275,93376,45184,0,0,camelyon16_train_normal_001,normal_001,0
219020,121792,50944,0,0,camelyon16_train_normal_001,normal_001,0
118025,94144,45312,0,0,camelyon16_train_normal_001,normal_001,0
223665,121728,73088,0,0,camelyon16_train_normal_001,normal_001,0
226397,92928,45952,0,0,camelyon16_train_normal_001,normal_001,0
66175,152768,60480,0,0,camelyon16_train_normal_002,normal_002,0
43566,155328,65728,0,0,camelyon16_train_normal_002,normal_002,0
54733,152064,63168,0,0,camelyon16_train_normal_002,normal_002,0
889,130688,60992,0,0,camelyon16_train_normal_002,normal_002,0
203141,129024,23232,0,0,camelyon16_train_normal_002,normal_002,0
9623,121152,62720,0,0,camelyon16_train_normal_002,normal_002,0
58129,128384,27648,0,0,camelyon16_train_normal_002,normal_002,0
188828,150080,76352,0,0,camelyon16_train_normal_002,normal_002,0
80771,125504,34432,0,0,camelyon16_train_normal_002,normal_002,0
55237,149696,63936,0,0,camelyon16_train_normal_002,normal_002,0
105541,144576,71872,0,0,camelyon16_train_normal_002,normal_002,0
155454,133760,62656,0,0,camelyon16_train_normal_002,normal_002,0
70959,144384,67136,0,0,camelyon16_train_normal_002,normal_002,0
210694,158784,69952,0,0,camelyon16_train_normal_002,normal_002,0
50037,152768,52800,0,0,camelyon16_train_normal_002,normal_002,0
32277,157376,69248,0,0,camelyon16_train_normal_002,normal_002,0
50727,142656,70272,0,0,camelyon16_train_normal_002,normal_002,0
99957,153280,51776,0,0,camelyon16_train_normal_002,normal_002,0
53003,144192,62016,0,0,camelyon16_train_normal_002,normal_002,0
77093,158144,62080,0,0,camelyon16_train_normal_002,normal_002,0
105641,126400,43072,0,0,camelyon16_train_normal_002,normal_002,0
20152,159488,77120,0,0,camelyon16_train_normal_002,normal_002,0
82248,149248,66176,0,0,camelyon16_train_normal_002,normal_002,0
8303,150464,57216,0,0,camelyon16_train_normal_002,normal_002,0
153706,118592,35072,0,0,camelyon16_train_normal_002,normal_002,0
69091,153600,58368,0,0,camelyon16_train_normal_002,normal_002,0
63771,131456,42752,0,0,camelyon16_train_normal_002,normal_002,0
139425,153984,53248,0,0,camelyon16_train_normal_002,normal_002,0
217646,155520,69504,0,0,camelyon16_train_normal_002,normal_002,0
186540,116288,26688,0,0,camelyon16_train_normal_002,normal_002,0
214164,118336,30144,0,0,camelyon16_train_normal_002,normal_002,0
90618,127872,57088,0,0,camelyon16_train_normal_002,normal_002,0
15425,134016,55296,0,0,camelyon16_train_normal_002,normal_002,0
171883,131200,56448,0,0,camelyon16_train_normal_002,normal_002,0
149787,121344,57472,0,0,camelyon16_train_normal_002,normal_002,0
229381,154560,68928,0,0,camelyon16_train_normal_002,normal_002,0
75985,130688,39808,0,0,camelyon16_train_normal_002,normal_002,0
73801,127104,61440,0,0,camelyon16_train_normal_002,normal_002,0
253882,147968,59008,0,0,camelyon16_train_normal_002,normal_002,0
147918,154944,63296,0,0,camelyon16_train_normal_002,normal_002,0
66273,149440,49280,0,0,camelyon16_train_normal_002,normal_002,0
6597,131840,39616,0,0,camelyon16_train_normal_002,normal_002,0
15465,117568,59712,0,0,camelyon16_train_normal_002,normal_002,0
16613,127552,64512,0,0,camelyon16_train_normal_002,normal_002,0
18470,132608,55552,0,0,camelyon16_train_normal_002,normal_002,0
29394,129984,35456,0,0,camelyon16_train_normal_002,normal_002,0
238518,144064,71360,0,0,camelyon16_train_normal_002,normal_002,0
29935,123904,38336,0,0,camelyon16_train_normal_002,normal_002,0
103304,154752,62912,0,0,camelyon16_train_normal_002,normal_002,0
251315,121664,31808,0,0,camelyon16_train_normal_002,normal_002,0
222221,153856,72128,0,0,camelyon16_train_normal_002,normal_002,0
59498,121216,61184,0,0,camelyon16_train_normal_002,normal_002,0
100534,120896,56448,0,0,camelyon16_train_normal_002,normal_002,0
179288,129984,34688,0,0,camelyon16_train_normal_002,normal_002,0
78443,150208,75072,0,0,camelyon16_train_normal_002,normal_002,0
259519,143040,51584,0,0,camelyon16_train_normal_002,normal_002,0
51963,155840,60224,0,0,camelyon16_train_normal_002,normal_002,0
250236,149568,66496,0,0,camelyon16_train_normal_002,normal_002,0
35342,152576,60352,0,0,camelyon16_train_normal_002,normal_002,0
198352,75456,44096,0,0,camelyon16_train_normal_003,normal_003,0
242086,59008,18240,0,0,camelyon16_train_normal_003,normal_003,0
147969,64704,18048,0,0,camelyon16_train_normal_003,normal_003,0
229240,74752,17408,0,0,camelyon16_train_normal_003,normal_003,0
219737,84032,62976,0,0,camelyon16_train_normal_003,normal_003,0
74394,71232,29888,0,0,camelyon16_train_normal_003,normal_003,0
86406,80064,59136,0,0,camelyon16_train_normal_003,normal_003,0
121537,70912,46400,0,0,camelyon16_train_normal_003,normal_003,0
84861,105280,54976,0,0,camelyon16_train_normal_003,normal_003,0
44151,74240,60032,0,0,camelyon16_train_normal_003,normal_003,0
